时间,力值 1#,力值 2#,力值 3#,合力
'2025-08-11 20:10:25.842,0.01,-0.01,-0.01,0.017320508
'2025-08-11 20:10:25.849,0.01,0,0,0.01
'2025-08-11 20:10:25.855,0.01,0,0,0.01
'2025-08-11 20:10:25.861,0.01,0,0,0.01
'2025-08-11 20:10:25.868,0.01,0,0,0.01
'2025-08-11 20:10:25.874,0.01,0,0,0.01
'2025-08-11 20:10:25.881,0.01,0,0,0.01
'2025-08-11 20:10:25.888,0.01,0,0,0.01
'2025-08-11 20:10:25.895,0.01,0,0,0.01
'2025-08-11 20:10:25.901,0.01,0,0,0.01
'2025-08-11 20:10:25.908,0.01,0,0,0.01
'2025-08-11 20:10:25.914,0.01,0,0,0.01
'2025-08-11 20:10:25.920,0.01,0,0,0.01
'2025-08-11 20:10:25.927,0.01,0,0,0.01
'2025-08-11 20:10:25.934,0.01,0,0,0.01
'2025-08-11 20:10:25.940,0.01,0,0,0.01
'2025-08-11 20:10:25.947,0.01,0,0,0.01
'2025-08-11 20:10:25.954,0.01,0,0,0.01
'2025-08-11 20:10:25.959,0.01,0,0,0.01
'2025-08-11 20:10:25.966,0.01,0,0,0.01
'2025-08-11 20:10:25.973,0.01,0,0,0.01
'2025-08-11 20:10:25.979,0.01,0,0,0.01
'2025-08-11 20:10:25.986,0.01,0,0,0.01
'2025-08-11 20:10:25.991,0.01,0,0,0.01
'2025-08-11 20:10:25.998,0,0,0,0
'2025-08-11 20:10:26.004,0,0,0,0
'2025-08-11 20:10:26.011,0,0,0,0
'2025-08-11 20:10:26.017,0,0,0,0
'2025-08-11 20:10:26.024,0,0,0,0
'2025-08-11 20:10:26.031,0,0,0,0
'2025-08-11 20:10:26.037,0,0,0,0
'2025-08-11 20:10:26.043,0,0,0,0
'2025-08-11 20:10:26.049,0,0,0,0
'2025-08-11 20:10:26.056,0,0,0,0
'2025-08-11 20:10:26.061,0,0,0,0
'2025-08-11 20:10:26.068,0,0,0,0
'2025-08-11 20:10:26.075,0,0,0,0
'2025-08-11 20:10:26.081,0,0,0,0
'2025-08-11 20:10:26.087,0,0,0,0
'2025-08-11 20:10:26.093,0,0,0,0
'2025-08-11 20:10:26.100,0,0,0,0
'2025-08-11 20:10:26.106,0,0,0,0
'2025-08-11 20:10:26.113,0,0,0,0
'2025-08-11 20:10:26.119,0,0,0,0
'2025-08-11 20:10:26.125,0,0,0,0
'2025-08-11 20:10:26.136,0,0,0,0
'2025-08-11 20:10:26.143,0,0,0,0
'2025-08-11 20:10:26.151,0,0,0,0
'2025-08-11 20:10:26.158,0,0,0,0
'2025-08-11 20:10:26.166,0,0,0,0
'2025-08-11 20:10:26.173,0,0,0,0
'2025-08-11 20:10:26.182,0,0,0,0
'2025-08-11 20:10:26.190,0,0,0,0
'2025-08-11 20:10:26.198,0,0,0,0
'2025-08-11 20:10:26.207,0,0,0,0
'2025-08-11 20:10:26.220,0,0,0,0
'2025-08-11 20:10:26.227,0,0,0,0
'2025-08-11 20:10:26.234,0,0,0,0
'2025-08-11 20:10:26.241,0,0,0,0
'2025-08-11 20:10:26.248,0,0,0,0
'2025-08-11 20:10:26.254,0,0,0,0
'2025-08-11 20:10:26.260,0,0,0,0
'2025-08-11 20:10:26.266,0,0,0,0
'2025-08-11 20:10:26.273,0,0,0,0
'2025-08-11 20:10:26.279,0,0,0,0
'2025-08-11 20:10:26.290,0,0,0,0
'2025-08-11 20:10:26.296,0,0,0,0
'2025-08-11 20:10:26.302,0,0,0,0
'2025-08-11 20:10:26.308,0,0,0,0
'2025-08-11 20:10:26.316,0,0,0,0
'2025-08-11 20:10:26.322,0,0,0,0
'2025-08-11 20:10:26.328,0,0,0,0
'2025-08-11 20:10:26.335,0,0,0,0
'2025-08-11 20:10:26.341,0,0,0,0
'2025-08-11 20:10:26.348,0,0,0,0
'2025-08-11 20:10:26.355,0,0,0,0
'2025-08-11 20:10:26.361,0,0,0,0
'2025-08-11 20:10:26.367,0,0,0,0
'2025-08-11 20:10:26.373,0,0,0,0
'2025-08-11 20:10:26.379,0,0,0,0
'2025-08-11 20:10:26.386,0,0,0,0
'2025-08-11 20:10:26.392,0,0,0,0
'2025-08-11 20:10:26.399,0,0,0,0
'2025-08-11 20:10:26.406,0,0,0,0
'2025-08-11 20:10:26.412,0,0,0,0
'2025-08-11 20:10:26.418,0,0,0,0
'2025-08-11 20:10:26.425,0,0,0,0
'2025-08-11 20:10:26.431,0,0,0,0
'2025-08-11 20:10:26.437,0,0,0,0
'2025-08-11 20:10:26.443,0,0,0,0
'2025-08-11 20:10:26.450,0,0,0,0
'2025-08-11 20:10:26.457,0,0,0,0
'2025-08-11 20:10:26.463,0,0,0,0
'2025-08-11 20:10:26.470,0,0,0,0
'2025-08-11 20:10:26.477,0,0,0,0
'2025-08-11 20:10:26.484,0,0,0,0
'2025-08-11 20:10:26.495,0,0,0,0
'2025-08-11 20:10:26.502,0,0,0,0
'2025-08-11 20:10:26.509,0,0,0,0
'2025-08-11 20:10:26.516,0,0,0,0
'2025-08-11 20:10:26.523,0,0,0,0
'2025-08-11 20:10:26.529,0,0,0,0
'2025-08-11 20:10:26.536,0,0,0,0
'2025-08-11 20:10:26.542,0,0,0,0
'2025-08-11 20:10:26.549,0,0,0,0
'2025-08-11 20:10:26.556,0,0,0,0
'2025-08-11 20:10:26.562,0,0,0,0
'2025-08-11 20:10:26.569,0,0,0,0
'2025-08-11 20:10:26.575,0,0,0,0
'2025-08-11 20:10:26.582,0,0,0,0
'2025-08-11 20:10:26.588,0,0,0,0
'2025-08-11 20:10:26.595,0,0,0,0
'2025-08-11 20:10:26.601,0,0,0,0
'2025-08-11 20:10:26.608,0,0,0,0
'2025-08-11 20:10:26.615,0,0,0,0
'2025-08-11 20:10:26.621,0,0,0,0
'2025-08-11 20:10:26.627,0.01,0,0,0.01
'2025-08-11 20:10:26.634,0.01,0,0,0.01
'2025-08-11 20:10:26.640,0.01,0,0,0.01
'2025-08-11 20:10:26.647,0.01,0,0,0.01
'2025-08-11 20:10:26.653,0.01,0,0,0.01
'2025-08-11 20:10:26.660,0.01,0,0,0.01
'2025-08-11 20:10:26.666,0.01,0,0,0.01
'2025-08-11 20:10:26.673,0.01,0,0,0.01
'2025-08-11 20:10:26.680,0.01,0,0,0.01
'2025-08-11 20:10:26.686,0.01,0,0,0.01
