阶梯编号,开始时间,结束时间,持续时间(秒),数据点数,平均合力(N),标准差,力值范围,平均x力(N),平均y力(N),平均z力(N),最小合力(N),最大合力(N)
1,2025-08-11 20:10:28,2025-08-11 20:10:31,2.3,354,0.118831,0.043524,0.210227,0.005113,0.000339,-0.115989,0.010000,0.220227
2,2025-08-11 20:10:31,2025-08-11 20:10:33,2.0,303,0.393077,0.014436,0.239833,0.005446,0.002838,-0.392706,0.300167,0.540000
3,2025-08-11 20:10:33,2025-08-11 20:10:35,2.0,307,0.707558,0.022704,0.331412,0.040130,-0.005733,-0.705635,0.590000,0.921412
4,2025-08-11 20:10:35,2025-08-11 20:10:39,4.0,609,1.316901,0.208733,0.735608,-0.002709,0.031773,-1.314401,0.961301,1.696909
5,2025-08-11 20:10:39,2025-08-11 20:10:41,2.0,298,1.968441,0.023536,0.379892,0.052852,0.001477,-1.961577,1.756531,2.136422
6,2025-08-11 20:10:41,2025-08-11 20:10:43,2.0,303,2.383914,0.046490,0.345404,0.107987,0.053663,-2.371287,2.186275,2.531679
7,2025-08-11 20:10:43,2025-08-11 20:10:45,2.0,304,2.778380,0.046522,0.304541,0.092336,-0.113849,-2.758487,2.641609,2.946150
8,2025-08-11 20:10:45,2025-08-11 20:10:48,3.6,547,3.381236,0.194200,0.605526,-0.019104,-0.073492,-3.331974,3.065632,3.671158
9,2025-08-11 20:10:48,2025-08-11 20:10:49,0.5,73,3.577258,0.111574,0.855378,0.084384,0.034110,-3.525205,2.814036,3.669414
10,2025-08-11 20:10:49,2025-08-11 20:10:52,3.1,469,0.137141,0.103916,1.662068,-0.033817,-0.008209,0.012473,0.045826,1.707893
