阶梯编号,开始时间,结束时间,数据点数,平均合力(N),标准差,平均x力(N),平均y力(N),平均z力(N),最小合力(N),最大合力(N)
1,2025-08-11 20:10:25,2025-08-11 20:10:26,116,0.002132,0.004245,0.002069,-0.000086,-0.000086,0.000000,0.017321
2,2025-08-11 20:10:26,2025-08-11 20:10:27,179,0.004469,0.004986,0.004469,0.000000,0.000000,0.000000,0.010000
3,2025-08-11 20:10:27,2025-08-11 20:10:28,127,0.019959,0.010278,0.007087,-0.003622,-0.014094,0.010000,0.033166
4,2025-08-11 20:10:28,2025-08-11 20:10:29,203,0.097858,0.057983,0.006552,0.005567,-0.093251,0.010000,0.141421
5,2025-08-11 20:10:29,2025-08-11 20:10:31,169,0.134217,0.009026,0.002840,-0.005799,-0.133669,0.130000,0.220227
6,2025-08-11 20:10:31,2025-08-11 20:10:31,116,0.393493,0.014895,0.011897,-0.004828,-0.393103,0.300167,0.401248
7,2025-08-11 20:10:31,2025-08-11 20:10:33,187,0.392819,0.014179,0.001444,0.007594,-0.392460,0.390000,0.540000
8,2025-08-11 20:10:33,2025-08-11 20:10:33,108,0.713662,0.017951,0.019352,0.005370,-0.712870,0.590000,0.740068
9,2025-08-11 20:10:33,2025-08-11 20:10:34,105,0.702030,0.014454,0.063714,-0.022857,-0.698286,0.671863,0.726223
10,2025-08-11 20:10:34,2025-08-11 20:10:35,160,0.866753,0.194033,0.035313,-0.006188,-0.865750,0.680735,1.130575
11,2025-08-11 20:10:35,2025-08-11 20:10:36,120,1.115840,0.007715,-0.063417,0.007917,-1.113583,1.102406,1.132872
12,2025-08-11 20:10:36,2025-08-11 20:10:37,113,1.102634,0.018629,-0.026814,0.003186,-1.102212,1.080417,1.260317
13,2025-08-11 20:10:37,2025-08-11 20:10:38,148,1.538631,0.025831,-0.023378,0.031757,-1.538041,1.330301,1.570159
14,2025-08-11 20:10:38,2025-08-11 20:10:39,163,1.504817,0.030732,0.064356,0.088405,-1.498221,1.480338,1.756531
15,2025-08-11 20:10:39,2025-08-11 20:10:39,113,1.959307,0.017326,0.073805,-0.008407,-1.955575,1.856098,1.982524
16,2025-08-11 20:10:39,2025-08-11 20:10:40,101,1.981629,0.014010,0.100297,0.065941,-1.969406,1.951973,2.001624
17,2025-08-11 20:10:40,2025-08-11 20:10:41,196,2.230132,0.228075,0.017959,-0.022602,-2.223724,1.942730,2.460102
18,2025-08-11 20:10:41,2025-08-11 20:10:43,190,2.360594,0.033367,0.138579,0.081053,-2.345053,2.279188,2.531679
19,2025-08-11 20:10:43,2025-08-11 20:10:43,121,2.792997,0.040867,-0.021405,-0.121818,-2.788512,2.641609,2.851403
20,2025-08-11 20:10:43,2025-08-11 20:10:44,109,2.743112,0.028464,0.324679,-0.125413,-2.705321,2.680336,2.802517
21,2025-08-11 20:10:44,2025-08-11 20:10:45,136,3.013113,0.231406,-0.204191,-0.126691,-2.987721,2.707083,3.316037
22,2025-08-11 20:10:45,2025-08-11 20:10:46,105,3.237393,0.037549,0.304762,0.126476,-3.212000,3.152523,3.339416
23,2025-08-11 20:10:46,2025-08-11 20:10:47,136,3.172971,0.046972,0.233824,0.038897,-3.132059,3.096595,3.342888
24,2025-08-11 20:10:47,2025-08-11 20:10:47,111,3.587836,0.046964,-0.266847,-0.399009,-3.523243,3.421462,3.671158
25,2025-08-11 20:10:47,2025-08-11 20:10:48,108,3.585816,0.030817,0.032315,0.033426,-3.533611,3.541610,3.645628
26,2025-08-11 20:10:48,2025-08-11 20:10:49,156,2.319945,1.663192,-0.094167,-0.037115,-2.232179,0.045826,3.669414
27,2025-08-11 20:10:49,2025-08-11 20:10:50,103,0.143944,0.051206,-0.104757,0.007282,0.013398,0.053852,0.226495
28,2025-08-11 20:10:50,2025-08-11 20:10:50,102,0.124005,0.037866,0.008627,-0.025980,0.029216,0.050990,0.198746
29,2025-08-11 20:10:50,2025-08-11 20:10:51,153,0.115976,0.039883,-0.013333,0.007582,0.026471,0.064031,0.210950
30,2025-08-11 20:10:51,2025-08-11 20:10:52,53,0.165830,0.017333,-0.153585,-0.035660,0.032075,0.134907,0.189209
